Kalenjin,Kiswahili
Kitur kimaketiet oratinwek oengu ako nemochei tugul kobetyei tugul,Njia mbili zilimshinda fisi na mtaka yote hukosa yote. 
Kikichop amitwogik chw chang eng petutap tumto,Tulipika chakula nyingi siku ya sherehe
Ngetoben ni konaaksei kole imuchi koyakwa lagok komie ,Kwa kuzingatia hili itafahamika kuwa Wanafunzi wataweza Kurutubisha vyema.
kasultaet Nepo iman komochei kokiletap kei , Mafanikio ya kweli yanahitaji bidii.
kiaibu ngoroik akotomo alachi,nilileta nguo na sijawahi vaa
iruptoi toritik chechang, Ndege wengi wana huwezo w kuruka angani.
Kwanetkey asoman kila petut,Nimejifunza kusoma kila siku
Ngolyondoni komuchi koib boriet ,Jambo hili huleta vita na ukosefu
Ye atinye teputyet ake atebenin,Nikiwa na swali lingine nitakuuliza
Po kamanut itinye chi poipoyet eng' sobeng'ung', Ni muhimu kuwa na fueaha katika maisha yako.
Chomye nyo kou mauwek che pitos kasarta ake tukul,Mapenzi yetu ni kama maua yanayomea kila msimu. 
Kitebee lakwet kamenyi kotangangi missing ,Mtoto akamwuliza mamaye huku ameshangaa si haba.
"Age, ko kristianik kokinaita koyoei saet akotiendos ako urerendos eng kwaya","Mwingine, wakristo wamezoea kufanya ibada kwa kuimba na kucheza kwenye kwaya."
Eng kemeut kolalei asista anan ko korobon neo amu sutei Bek ,wa kiangazi ambapo jua huwa kali sana wala masika kwani mimea itasombwa na maji ya mafuriko.
Chomnyet kosichei sobon eng iman.,Upendo huzaa uzima wa kweli.
Kokoet rengset eng pororiet,unyanyapaa katika jamii umekithiri.
Terchinet ko muren kotelel eng yachen,"Tofauti ni kwamba, mwanamume ni kudhibiti kwa ubaya."
Katunisyet ko betutab waleetab sobeet.,Harusi ni siku ya kubadilisha maisha.
Kimagatin keun logoek ak ngwek komakiam,Tunahitajika kuosha matunda na mboga kabla ya kuvila
kibagengeitab kanetik and kipsomaninik kokonu kelchinet neo,ushirikiano mwema baina ya walimu pamoja na wanafunzi uleta ufanisi mkubwa
Akoimuch kokeikeit  sobet neui nguno ,Na huenda Maisha magumu ya sasa yakapata nafuu.
Petut age tugul ko petut nebo kongoi,Kila siku ni siku ya kushukuru.
Kimangem Kijasiri ,Kijasiri hakukufuru.
Oo ropta ak koitityet eng' yu,Kuna mvua nyingi na baridi hapa
pik tukul konamkei kipakenge siketar sidesiek cherupei kipsomaninik ,wote kwa jumla waweze kushirikiana pamoja kwani umoja ni nguvu na utengano ni udhaifu kupambana na matatizo hayo na kuyatia kabuli la sahau ili wanafunzi wasipate changamoto hizo abada na waweze kujiendeleza katika elimu yao. 
Chame tupchenyu ko uni kot,Ndugu yangu anapenda kusafisha nyumba
Achame anendet arutochini gogo,Mimi hupenda kumzuru nyanya
Garisiek kende kompyutait sikesubi eng muswoknatetab kasari,Magari yawekwe tarakilishi ili yawe yakikaguliwa mitandaoni.
birei kelelee simeenyin misiing, Simu  yake inapika kelele sana
Aiywei awendot kemboi anekey,Ninaogopa kutembea usiku peke yangu
"Chekiititoi kapkirwook keiititab ako chekikochini kerkong nebo konam fine konem ama eng kalotunet ako yotok kotegaak loiseet, isupi ketiik ng'atutiik ab loiseet. Somok, kende garisyek musoknatetab kiringdaetab chepchebindo.","Wakupelekwa mahakamani wapelekwe na waku adhibiwa lai waku toa faini watoe bila yaku onewa imani hapo ndipo uchukuzi utaimarika, madereva watafuata kanuni za barabarani ng usafiri utakuwg muruwa  Tatu, Magari yawekwe vidhibitimwendo."
Ra ko kakiamisie ak kee ak kepiyongyie,Leo tumekula na kunywa tukashiba
Tuiyosiek cheu muhuri ko agenge eng tuiyetab waislamiek cheyaei imanit eng bik tuguk,Vikundi kama vile muhuri ambayo ni mojawapo ya makundi ya waislamu kinachotoa haki za watu wote .Tunahitaji vikundi vingi kwani kidole kimoja hakivunji chawa na jiwe moja haliinjiki jiko.
Che kikole minutik komomi kewelutik alak tugul,za kukuza mimea bila shida yoyote.
Nbo tuguukab soet kototreti chi kolipan chepkondook eng musoknatet.,wa vyombo vya hewani humsaidia mtu kulipa nauli mtandaoni.
let amwaeko Petet aporoindo ,"Mwisho nikidokozea, ni kuzembea katika majukumu."
Kangungunyet nebo poror komuchi komwaita nametab osoya ,Malalamishi ambayo umma inaweza kuripoti kuhusu ufisadi. 
Nebo ngungunyek Oleregundoi,ya mchanga inavyozidi kushuka.
kabatik konyalun kotinye che kese eng kenyishiek tugul, Wakulima wanaitaji mavuno mazuri kila mwaka.
Kioo ako kibo kamuiset betusiechoto,Ulikuwa mkubwa na wa kutisha siku hizo.
Ak tulonok ak gorik che eechen ak tuguk alak,"na mabonde, majumba makubwa makubwa na vitu vinginevyo."
Kikere eng chigilisiet ne kiyai kibagengeitab Transparency kole eng konekit kole kikotiem emotinwekab afrika nebo murot tai koborie nametab osoya ,Tunaona kwamba uchunguzi uliofanywa na Shirika la Transparency International hivi karibuni unasema kuwa nchi za Jumuiya ya Afrika Mashariki zimefanya vyema duniani katika kupambana na ufisadi.
bo kamanut eng sobet,ni jambo la maana maishani
Katunisyet ko betutab taunetab karwotitoet.,Harusi ni siku ya kuanza ndoto.
Keyai kanetisyet ne nin koityi kiboitinik tugul eng sekta nebo loiseet.,Kutoa mafunzo imara kwa wahudumu wa sekta ya usafiri.
Petut age tugul ko kasarta nelelne kiyaei boisiet,Kila siku ni fursa mpya ya kufanya vizuri.
Ng'wan kemeu ni missing',Kiangazi hiki ni kali sana
ketigon bik komye ko tesei chametabgei be bo pororiet,Ushauri nasaha huimarisha afya ya jamii.
kwamwoi kiyee koyae eng konyi,Nilimwambia alichokuwa akifanya chumbani kwake
ole uu ngalek ab rabinik ko shidet eng kabatishiet nanyon,Mifumo ya Kifedha ni changamoto kuu katika kilimo
Kingokerech kobaibait kou mvuvi nekanam njirenik ,"Alipotuona, alijawa na furaha kama mvuvi aliyekinasa kishazi cha samaki."
Mogorik nea biik chun,Watu wale ni matajiri sana
"eng katunisiet, betut age tugul ko boroindo nebo kineetkeei ak ketestaai","Katika ndoa, kila siku ni fursa ya kujifunza na kuboresha."
Katunisienyo ko rutoito ne bo koigeny,Ndoa yetu ni safari ya milele.
Notok kobooru korotiik chekitumdage ye kingeborchinigei katyaknatet.,Nayo niishara iliyomwagika wakati wa kupigania uhuru wetu.
Betut aketukul ko talosiet ,Kila siku ni upendo.
Ateptab mung'aret komakat, Sera za biashara zinaweka mwelekeo.
chamet ab imanda ko taunet ab kandoinatet be mie ,Uadilifu ni msingi wa uongozi bora.
Ngotketech tiletap kobisetap minutik eng komoswek cheyamatin kowendi barak kobotisiet eng emet ,Iwapo tutaka ribisha amuzi la unyunyizaji aji maeneo kame basi kile bila shaka kilimo kitaimarika nchini. 
Kekochi kartasisyek che nyolu asi keter biik chetinyei atebweek chemoiyontiin komatkobois eng sekta nebo loiseetab tuguuk asi komabiit.,wapewe vyeti vya hulka njema lli Kuhakisha watu wenye kasoro za kinidhamu hawahudumi Katika sekta hii ya usafirishaji wa bidhaa zisizotakikare
Magat kerib tililindo yo kichobisie,Usafi lazima udumishwe wakati mapishi
Sirutyet ake tukul nepunun kou chomyet ne inekey ne tinyei mukuleldanyu.,Kila smS yako ni kama upendo wa kipekee unaonigusa moyoni. 
Sait ake tukul kemi twai kou kepeper eng' paradiso.,Kila wakati nawe ni kama kipande cha paradiso. 
Kirorichi lagook.,Watoto walimcheka.
Abwati rop ake tukul ne kikiuum   twai.,Nakumbuka kila tone la mvua tuliposhiriki kivuli chetu pamoja.
Kiimnyan eng kasartab arawet ne kikosirto.,Marehemu alikuwa mgonjwa kwa mwezi.
Bandap mutyo ko banda ako newendi mutyo komoitortoi keldonyii,Polepole ndio mwendo na mwenda pole haji kwai.
"Itei artam chekwok, kimwochi Kipokeo choruenyi ","Arubaini zenu zitafika, Kipokeo alimtania mwenzake. "
Kimi rutoi ne i poipoiti., Tuko katika safari ya kusisimua
kabatindet konyalun koek ne tinye borto ne kararan si kobit koai kabatishiet,mkulima anafaa kua buheri wa afya kueza kufanya ukulima.
Kotiegei koib amitwogik eng betusiek tugul ,inayowategemea kuleta mikate kila siku.
Beit ab tuguk kokurei alik,Thamani inashawishi uchaguzi wateja.
Let kotakotiemei ketindet ak tandiboi yekingotiem  amaimuch konerekso akowechikei,"Nyuma, dereva na taniboi baada ya kujaribu bila mafanikio, walisonya na kupiga lori moto na kwenda zao."
Karoron tyenwogik chu ne po iman,Nyimbo hizi ni nzuri kweli
Toreti logoek eng etunet ab bortap lagok ,Nyama husaidia katika ukuaji wa mwili wa mtoto
Kisoiywo beekab kong kobun rirgei.,Nilitokwa na milizamu ya machozi kwa huruma.
toma kewal ngolyot ni koek lukait ake,Sentensi hii bado haijatafsiriwa
"BIik che camdos, kotoochei waleet ak kotoretkeei eng kakwaut age tugul",Wapendanao wanakumbatia mabadiliko na kusaidiana katika kila hatua.
Ketech ketesyosiekab che terchin akonet kobotik eng oratinwek che terchin ,"Mwanzo, kujengwa kwa vituo mbalimbali vya kuelimisha wakulima njia mbali mbali."
Cheisupo ko alak eng oratinweek chekimuch keteech loiseet eng emoni.,Zifuatazo ni baadhi ya njia za kumarisha uchukuzi nchini.
Chomye ng'ung' kou karwotitet ne mye ne iyoni amach rwondo.,Upendo wako ni kama ndoto nzuri inayonifanya kutamani usingizi. 
Nam karuatitoet ngung eng kakilet , Shikilia ndoto yako kwa bidii.
Aipun amitwogik sait lo,Nitakuletea chakula saa sita
Naet ab kandoinatet kumakat, Ujuzi wa uongozi unahitajika.
ya kibaishen barenik koait kongeme tunguk chemi mbar,Jua kali huweza kuzuia wakulima kufanya upalilizi shambani
"mitei tuguuk chebunei keweet alak beek ako soeet. Tuguukab loiseet chebo keweet kou lorisyek, boskilisyek, matatusyek, mkokotenisyek ako basisyek.","Kuna vyombo ambavyo hupitia nchi kavu, vingine majini na huta hewani  Vyombo vya usafiri vya nchi kayu ni kama vile; Lori, baiskeli, matutu, mkokoteni na basi."
"Somanet neu nebo kipkolit, teksetab, ak serisiet keibu ko koromen ako kimen","Masomo kama vile masomo ya umeme, ujenzi, uchoraji huchukuliwa kazi hizi ngumu na nzito kwani waashi hubeba mawe na kukoroga simiti."
Kimache kosup murenik ng'otutik,Wazee walipaswa kufuata masharti 
Emetab Uganda kotinyei tilyandit ne mie ako emotinweek alak.,Uganda ina uhusiano mzuri na nchi zingine.
Oret ne lele nikisomane musongnotet nebo kasari ,mfumo mpya wa masomo ya kiteknolojia
Chechomei robinik che kikitetyi neranik ,Wanaopenda pesa zilizotengewa vijanaB.Walio na tamaa ya mali wasiokuwa na haki yakeC.Walio na tamaa ya kuwaimarisha vijanaD.Walio na mielekeo chanya kuhusu vijana10.
Tinyei ng'elyepta nebo koristo.,Ana lafudhi ya baridi.
Inye koi kepepertanyun nepo kalyet eng' ng'onyut ap somisyo.,Nawe ni sehemu yangu ya amani katika ulimwengu wa machafuko.
Nebo boiyot Mahiri nebo kametab Emali ,wa mzee Mahiri wa Mama Emali.
 Borchinee noto  ne bo biikab boisie bokol tisap ak che tonontochine ko kibek.,Mzozo huo kati ya wafanyakazi zaidi ya 700 na wasimamizi uliisha.
Awendi tumtab tienwogik,Nimekwenda kwenye tamasha la muziki.
Chomye ng'ung' kou kepepertap chomyet ne kikipurukto sobennyu.,Upendo wako ni kama kipande cha utamu kilichochanganywa na maisha yangu.
Anyiny tyeni missing',Wimbo huu ni mtamu sana
Kora ko tiongikab timin kechobchi keronaik asimait oratinwek ,"Pia, wanyama pori watengezewe nyua ili wasifike barabarani."
Ki isaiseret emet eng kaliet eng ruondo,Aliaga dunia kwa amani usingizini
nyalun ketebee kabatiek kaimutiet nenywan,wakulima ndio wanapaswa kuulizwa changamoto zao
Kepaipaitan ole ketyende tyenotok,Nimefurahishwa na jinsi ulivyoimba wimbo huo
Ye igesgei boisennyu,wakati kazi yangu ya maisha imekamilika
Mawole let agot ngiyan eng kosubetab ,Hakutetereka katu au kuhaha iwapo aliamini katika mkondo Fulani wa fikira.
Kiborisho Uingereza eng kimnotee kasata ne ki bo Blitz., Uingereza ulipambana na ushujaa wakati wa Blitz.
Ole kikonobtoei kobotisiet ngwai ko ngolyot age kosomani ko,za kuboresha ukulima wao.Jambo lingine ni kuwa somo
tienwokik ap pop kokaikaiyo ako poipoito,Pop music inachangamsha na kuburudisha.
paisiet ap kerichek ko ngemei neranik ,"Aidha, changamoto nyingine ni matumizi ya dawa za kulevya Dawa hizo kwa mfano Shisha, imekuwa inatumika sana miongoni mwa vijana."
Kipalei kepenonik chebokeswek, Kuchimba mashimo kwa ajili ya mbegu.
Kiptupche anendet ak Jeptanui,Mimi na Jeptanui ni ndugu
motinyei keti lokoyan okot akenge,Mti huu hauna matunda hata moja.
"Ye kingokakobus, kotuiatui meset eng mornenyi akolechi, wiy ibwat","Baada ya kutua pumzi kifuani; aligongagonga meza kwa kidole chake kisha akamwambia, Nenda ukawazie."
Ne ribei bandap ko amune neo eng emetab Kenya nekonu nyasutik ,Mwendokasi ni sababu kuu nchini Kenya ya kutokea kwa ajali.
Kikibe keurerense ak lagokab maama,Sisi tuliondoka kwenda kucheza na binamu wetu.
shidet nenyoru neranik ko makat ketar ,"Tatizo hili ambalo humainbu vijana ambao ni tegemeo la nchimberleri i litgepukika endapo shule za mseto zitapigia mintfiku na kila.zile zu kaunica, kunci wale walio na mihusiano gaiviu moja; usagaji au ushoga, waadhibiwe ipasavyo ili wawe"
Ng'etepso ak lakok kotesei  naet, Kushiriki kwa wanafunzi huchochea mawazo.
makitinye ngal ketuye kipsomaninik eng muaet nii,"Hatuna budi kujumuisha wanafunzi katika kampeni hizi kwani ""udongo upatiliz uli maji."" "
"Katunisyet ko kandoindetab kapchi ne teleloot, ne boe ak koteech.","Upendo ni msingi wa familia imara, unaolisha na kuimarisha."
Nyoru boiboiyet eng sopengung tugul,Kuwa na furaha maishani mwako
Katou asoman pukuit ne lel ako anyinyen atindonik chik missing'., Nimeanza kusoma kitabu kipya  na hadithi zake ni tamu sana.
Chomye ng'ung' kou tulet eng' muguleldanyu., Upendo wako ni kama ngoma moyoni mwangu.
Sirutik ko taunenech acheket,Mabadiliko huanza ndani yetu wenyewe.
Kirindaet ab ng'et ab mbaret ,Kuzuia mmomonyoko wa udongo mashambani.
Besendo kotoreti kobotindet koal tugukab kasari ,Mikopo hiyo humsaidia mkulima kununua vifaa vya kisasa na hata mambo mengine anayohitaji kutumia katika ukulima.
Ngotkenam chi nekanam osoya kerat inendet asikoek koborunet eng bik alak noto anyun kochuchuchi nametab osoya eng emet ,"Endapo mhusika wa ufisadi atafungwa kifungo cha miaka isiyopungua ishirini bila kuachiliwa kwa dhamana, huenda likawa funzo kwake na kwa yule aliyekuwa na mipango ya kutaka kujihusisha na ufisadi, hivyo basi, kupunguza kiwango cha ufisadi nchini. "
Kenemgei eng alak ko chopei bororiet ne tuiyot,Kujitolea kwa wengine huunda jamii inayoshikamana.
Achame awendi kap senge,Ninapenda kwenda kwa shangazi
Mayani ale kiagere lokoiywek chi,Siamini niliwahi kutazama taarifa yake
Isub musongnotet nebo kasari,Kutumia teknolojia ya kisasa kilimani.
Imandab kipkosobei konyolu kekonyit,Haki za binadamu zinapaswa kuheshimiwa.
Ribet ni kararan kusichei kayanet, Huduma nzuri huzaa uaminifu.
Kanetik ko tait ab somanet, Mwalimu ni mwanga wa elimu.
Ak rerunetab kerichek chekororon,na ukosefu wa dawa bora.
"Ak Asisi, werit ne kitiem ngalalenyi","na Asisi, kijana aliyemkabili mazungumzoni."
Eng' oret ne olekemuchi kenyoru chichotok?,Jinsi gani tutaweza kumpata mtu huyo?
tukchewetutai kitait kopoipoito,Solo la gitaa linavuta hisia zangu.
Amuchi autie nyalilwogik tugul ak inye,Naweza kusahau shida zote nawe.
 Ki tuiyech koigeny eng katunisiet,Tutaunganishwa milele kwa ndoa.
Kimwa boisiek kole agilit nemaibwatekiy ko Ole yoe boisiet oindet,Wahenga hawakukosea walipolonga kuwa Ubongo usiofanya kazi ni warsha wa shetani.
Nandet ne achopchini kamet ak kwanit,Mimi nitawapikia mama na baba
Che tinyei garisiek chebo tiendo kokochin ,Wanaumiliki magari haya shangwe za kuwapatia morali madereva kwa kuwaongeza mshahara wanaowatumikia kwa uadilifu. 
Kichol ye kingonai kole kimite lakwet koboto inendet ,Alishtuka alipogundua kwamba mtoto alikuwa Pamoja naye.
kamangutiet eng' ripset nebo mbar ak nyorunet, umuhimu ya utunzaji wa shamba ni uzalishaji.
Kibel koriik ako kapkorosusyek.,Walichoma nyumba na makanisa.
Kenyor kalyet ko kit ne mye,Kupata amani ni jambo nzuri
Minister nebo emotinweekab sang kokoiyan kole kimatinyei baornatet ne yamat eng ng'alechotok.,Waziri wa Mambo ya nje alikiri kwamba hakuwa na dhibitisho kwa nadharia hizo.
"Nyasutik chechang ko kibunu belek, kipsirichik, makaita ak taitigo chemi oret ak kolul garisiek ","Visa vingi vya ajali vimetokana na ndovu, vifaru, viboko na twiga kutoka mbuga za wanyama kujipata barabarani na kuangusha magari."
Kora keboisie tugukab kabarastaet kenete pororiet ,Vilevile vyombo vya mawasiliano vitumiwe kuhamasisha umma.
Kotoret missing' somana na,Masomo hayo yalimsaidia sana
emet ne aquai ko kararan eng kabatishiet, ardhi yenye rotuba ni muhimu katika kilimo.
 Ko ib Man City kikombet konyil somok ngunoo.,ManCity wabeba kombe kwa mara ya tu sasa
kichunyo bolik chelelachen en barak, Mawingu nyeupe yametawamyika angani.
Amache aalji lakwet logoek chechang',Ninataka kumnunulia mtoto matunda mengi
kotuii komakosikyini keree kei ,Kulikuwa na giza na sikuweza kuona chochote
Amuchi ayai kit age tugul amu ine,Naweza kufanya chochote kwa ajili yako.
 Mwisilamu ko chii ne imimitekei ochi.,Mwisilamu ni mtu mnyenyekevu sana
Komuch kongololchin,Vikundi hivyi viweze kujadiliana
Tomaro Cheptoo kong'ete amut,Sijamwona Cheptoo tangu jana
Katunisyet ko ketoi ketech konorweetab kabwatet ako komong'unet eng kibagenge.,Harusi ni kuanza kujenga hazina ya kumbukumbu na matumaini pamoja.
Ketoi ofisisiekab chigilisiet chekosei kangungunyetab bik agobo nametab osoya ,"Aidha, kuanzishwa kwa ofisi ya uchunguzi maalum watu Kusikiliza malalamiko ya umma ambapo umma unaweza kuripoti kuhusu ufisadi."
Kimi inendet kiwanjet ak kikituyokei ak bik chechomei che eechen chechomei emet eng sautikap poror ,Yeye alikuwa uwanjani ma waliojiunga na wazalendo wakuu wao kwa sababu ya maombi ya taifa.
Kouye kingen emenyo ko koitet neo nebo bik kotiegei kobotisiet ,Kama tunavyojua nchi yetu asilimia kubwa inategemea kilimo ilikukidhi mahitaji.
Kakinde chego tugul eng sotonik aeng,Tumeweka maziwa yote kwa vibuyu mbili
Kayai lelut ne o ako atyeme anetkei as awalkey ak anetekey lelutyo notok.,Nimefanya kosa kubwa na sasa ninajaribu kurekebisha na kujifunza kutokana na kosa hilo.
Somanet komuchi kowal sobet, Elimu ina nguvu ya kubadilisha maisha.
Kekoch boroindo korib gorikwai. Korib gorikwai kouye magat,Kujipatia nafasi bora ya kuendeleza familia zaoB.Kuanza kukimu familia zao kabla hawajachelewa.
Che kikole somanet che iborchin lagokab sukul kole magat kolanda etiosiek agoi sukulitap barak,za kupandia masomo haya ambayo inaonyesha mwanafunzi anastahili kupanda vidaraja gani hadi chuo kikuu.
Kakemwaun akobo tupchengung ne mining,Umeambiwa kuhusu ndugu yako mdogo
Tugeetab serikali kowendi kong'usei biik chechang' kochut loiseet.,Bima ya serikali itavutia watu wengi waingie katika uchukuzi.
Ngomayai kounoto kechubei eng tai nebo lagokchi ,"Asipofanya hivyo, hutolewa matusi mbele ya watoto."
Keparasta koit tulwesiek toretet, Kuwezesha upatikanaji wa mikopo kilimani.
Ketesyi Ole kitildoe oreta kotildoi bik tugul eng komosta agenge ago kaseit ketik tugul ako chuchuch rwaengwai,Vivukio vitakapoongezwa watu wote watavukia pahala pamoja na madereva wote wataona na kutii hizi za vivukio ya watu na kuwabidi kupunguza mwendo wanapokaribia mahala hapo au hata kusimama ili kupisha watu wavuke mwanzo.
Afisaekab poror chebo to nametab osoya keisto eng boisiet akemut. Kapkirwok ,"Maafisa wa umma wanaohusishwa na ufisadi waafutwe kazi na kufikishwa mahakamani, Wafisadi watakaposhtakiwa waweze kuekwa kizimbani kwa kifungo cha miaka mingi. "
Katunisienyo ko u komastap kipsengwet,Ndoa yetu ni kama kipande cha mbinguni.
Ibei mursik betushe somok anda ko ang'wan si ketou keboisie.,Mursik inachukua muda wa siku tatu au nne ndipo iwe tayari kwa matumizi.
Kiy ake tukul kemi twai kou atindyot ap poipoyet.,Kila kitu na wewe ni kama hadithi yenye furaha. 
Mi toek chechang' che pwonei tumndap katunisyennyo.,Kuna wageni wengi watakaokuja kwenye sherehe yetu ya harusi.
"Bunei oinet, cheitos bek","Mto unapita, maji yanavuma."
Achomin kosi ki ake tukul eng' ng'wony.,Nakupenda kuliko kitu chochote duniani.
Ngwaekab karishek ko mochei ngomnoteet neo ak labateet,Mbio za magari zinahitaji ujuzi mkubwa na kasi.
Ane ne achope amitwogikap kemoi,Mimi nitapika chakula cha jioni 
Taipani kwandanyi kompyuta kotechei emet ne lel,"Baba atype kompyuta, akijenga ulimwengu mpya."
" Kauntit ne bo  marsabait ko komwa kole iyweei amu Atepto nr ya ne bo tilindo,",Kaunti ya Marsabit wameelezea hofu yao kuhusu hali duni ya usafi.
Inye koi kalyenyu yemi rirek.,Nawe ni amani yangu wakati wa majonzi
Achame lakwet ap tupchennyo,Ninampenda mtoto wa dada yangu
somanet kochuchuchi naisiet,Elimu inapunguza pengo la ufahamu.
Yemi ropta komapunoksey oratunwek ap oli,Mvua iwapo barabara za huku hazipitiki
ngoterit koristo eng' emet ko ngeme kabatishiet, Mabadiliko ya ang'a nchi yanaweza kuathiri kilimo.
"Kou ye kimwa rubeiwot ne bo kvana, chikilishe noto ko kitou oimbeet.","Kulingana na Naibu Gavana katika kaunti hiyo, Bw David Saruni, utafiti ulifanywa majuzi."
Ko ui saparit  al kelany tulwet,Safari ya kupanda mlima ilikuwa ngumu 
muktwoknatet kokanaptai olekinetutishai,Teknolojia inaboresha mbinu za kufundisha.
"Tundoetu mama, omoche oek ketindetap ndegeit kou baba","Nikiwa mkubwa mama, nataka kuwa rubani kama baba."
Neranik che chapisiei eng ra,Vijana ndio watapika siku ya leo
Kora ko tugukab kabarastaet kou television keboisie kemwaita chenomei osoya ,Vile vile vyombo vya mawasiliano vya kisasa kama vile runinga zitumike kuanika wale ambao hufanya ufisadi.
Kichop kibagengeisiek che kikitaban asi kochigil akokon kerengwai kosubkei ak nametab osoya ,Ibuni vikundi maalum vitakavyotengwa mbali hususan kuchunguza na kutoa mapendekezo dhidi ya ufisadi huu.
Aweksey kaa mutai koskoling',Nitarudi nyumbani kesho jioni
Noto anyun kokanabtai toretonoto,Hivyo basi ufadhili huo utawaimarisha zaidi.
Kiimut kabwatutik Koba Betty ,Fikra zilimtuma kwa Betty.
Ni komuch kochuchuch nametab osoya eng kwenutab bik akeutye nametab osoya ,Hii itaweza kupunguza ufisadi miongoni mwa watu na pia ufisadi utazikwa katika kaburi la suhau.
tienwokik ap oret ap ngueny kongusa ,Muziki wa mtindo wa dunia unanivuta.
Amwae Kora kabiseatab minutik eng komoswek cheyamatin ,"Minghairi ya hao, napendekeza mradi wa unyunyizaji maji maeneo Kame angalau kusiwe na kisingizio cha kuwa sehemu zingine kuwa na maji na zingine kuwa kavu."
violini korirei you mukulelto ,Violini inalia kama moyo unavyolia.
Lakok ko emet nyo,Wanafunzi ni taifa letu.
Chapei kamenyu amitwogik che anyiny,Mama yangu anapika chakula kitamu
Wendi inendet atkaan tugul kapkilabu asi konyumnyum ng'iiseet.,Yeye huenda kwenye baa ili kupunguza mkazo.
 Mwoe  monorii kole kobate konam biik Covid 19 KO akeny koibe kasarta oranato bo chikilishet.,"Wasafiri walisema mbali na kuhatarishwa kuambukizwa Covid19, mfumo huo wa upekuzi inajukuwa muda."
Chomnyet kosichei kimnatet nebo kabelisyet.,Upendo huzaa nguvu za kushinda.
Kandoik che mokoseiit ngatutik keisto eng boisiet akerat asokoek kaneteteabkei eng alak,Viongozi wasiotii sheria wafutwe kazi na kupelekwa gerezani ili iwe funzo kwa viongozi wengine.
ngomnatet ko makornandit Nemo ichuchuksei,Maarifa ni utajiri usiopungua.
Kwei kole itindoi sobet ne kararan , Chagua kuwa na maisha bora.
Tos tolbis iman? ,"Je, huu ni uungwana?"
"Tebutiet neo nemochei ketebekei ko ni, tos kibendi tai anan kibwone let? ","Swali kuu ambalo tunapaswa kujiuliza ni je, twaenda mbele au twarudi nyuma?"
Kwanyoru konunoik chechang' nia amut,Nilipata zawadi nyingi sana jana
Boiboiyet nebo iman ko punu muguleldo,Furaha ya kweli hutoka moyoni.
Kiimuch samuel bosire kochigil kesitap goldenberg,Tume ya Samwel Bosire iliweza kuchunguza kashfa yo Goldenberg ile ya Hotel (ye: Grand Regency na kadhalika. 
Kora ko ripsetab kiyakik ak kolsetab minutik kotoretech kemuchkei eng kemeut noto anyun kotoretech keutye rubet,"Aidha ufugaji na upananzi wa mimea, hutufanya tujikimu kwa ukame, hivyo basi kupiga teke baa la njaa na kulizika katika  kaburi la sahau."
"Tos, kimwochi kole ne kole inendet ko korat?",Je! Uliambiaje kuwa yeye ni kipofu?
serekalit konyalun koker ngalek ab konunaik, Serikali inafaa kushughulikia mambo ya mapato
Oratinwek che tinyei kebenonik kotorei tairisiek ako koib kobit nyasutik ,Barabara zenye mashimo na changarawe hutoboa magurudumu na kupeleka kutoa upepo kusababisha ajali.
Motinyei koesio,Hana hiari.
Mitei ne pirir.,ni ile nyekundu.
Bik che kiserchikei garisiechu kotun komokotim koit kapkirwok kolas lelutik,"Kupitia maarifa haya ya kisayansi, wamiliki waliosajiliwa wa gari hizi wataitajika kufika mahakamani na kusikiliza mashtaka, hivyo basi madereva watakuwa makini jicho na ukucha. "
Kerutochi chorwa ko ngolyo nemokikosei,Kutembelea marafiki ni jambo lisilosikika.
Kamenyu asome ineta achop kimnyet,Mama naomba unifunze kupika ugali
bo kamanut itinye katorchinet eng sobet,ni la maana kukuwa na malengo maishani
Kecher kobotik kokol amitwogik cheimokosei ilchet,"Kwa haya Kilimo nchini itaweza kuimarishwa Pili, kuhimiza wakulima kupanda mimea yanayostahimili ukame kama vile mahindi ya Katumani, viazi vitamu, nazi na pia mihogo."
Korom sikenyor amitwogikab kipkaa eng nganasok,Vyakula vya kiasili ni nadra kupatikana mijini 
Chomnyet kosichei kibagenge ako kasetabgei nebo iit.,Upendo huzaa umoja na uelewano.
 Boriengei ochei kochobekei and tesei kimnotee nyii.  ,Anajitahidi sana mazoezini na anaendelea kupata makali yake.
kabatik kotareti eng' walet ab emet, Wakulima huchangia  uchumi wa nchi.
Raini ko betutab sigeet nebo chorwenyu.,Leo ni siku ya kuzaliwa ya rafiki yangu.
Somanet kokimiti,Elimu inahamasisha maendeleo ya jamii.
Muitaet ko ipu kutwet ak kapelisiet,Uvumilivu huleta tija na ushindi
kanetet ab kei ko pa kelchin,Kujifunza ni hatua muhimu.
 Kile eng kougul kole oranoto koibuu kokoibuu nyalil eng kasarta ne mominig.,"Alisema kuwa kijumla, hali hiyo imekuwa ya kuleta shida kwa muda sasa."
Koicherchikey korip lakwa notok,Alijitolea kumlea mtoto huyo
Kikingolye eng boiboiyet kingebendi kotab chepkamitab mama ,Tulipiga soga kwa furaha tulipokuwa tukielekea kwa halati yetu.
Sait ake atinye ane kapwotuyik chechang', Wakati mwingine mimi huwa na mawazo mengi 
Nyolu ketebchi bonwek,Pia saa za usafiri zinafaa kudhibitiwa.
