Kidaw'ida,Kiswahili
Kio chipoie.,Giza ni nzuri
Siw'ew'ona w'ikimerianya charo.,Sioni wakimaliza safari
Uhu mwana wafulwa ni ndee.,Huyuy mtoto amefiliwa na babake
Ujha mwai olema w'andu w'ose.,Huyu msichana ameshinda watu wote
Apa waliw'a kujha vindo.,Baba amesahau kula chakula
Waghamba maisha ghighaluka.,Amesema maisha yatabadilika
Masanji ghajhighwa ni msaghu.,Mbao zimeliwa na mchwa
Mbuw'a yaw'oyavikie modenyi.,Shamba lao limefika mroni
Ofuya w'ulinyi uweka uakaw'oa.,Ametoka kitandani peke yake 
W'azerwa w'iend esena w'ighaluke.,Waliambiwa waende tena wageuke
Ow'adwa niw'ukongo ghodungumia.,Walishikwa na ugonjwa wa kusinzia
Odumbulwa kilumi chikabonya chonda.,Alikatwa kilimi kikarudi kidonda
Mavuda ghedeka ghasia.,Mafuta yalikuwa yameisha
Maindi ghake ndeghiw'adane.,Mifupa yake haijashikana
Aw'a w'inekagha w'adaw'ada mecha.,Wale wanapeana wanapata mazuri
Saru ya kwaru yapoie.,Mbolea ya sungura ni nzuri
W'ew'ika w'eke kwaru w'ikaw'iima vindo.,Waliweka sugura wakawanyima chakula
Tindi rewurwa mbuw'a yose.,Tomato zimeiva shamba yote
W'ezerwa w'ipoise ikwanyiko w'irede vindo.,Waliambiwa watengeneze mkutano walitewe chakula
Ndechiko kilambo chingi chipoie sa magome.,Hakuna kitu kizuri kama pesa
Kukaka kusene magome kwaka sa kwamba kwanyelwa ni vua.,Ukiwa hauna pesa unakaa ni kama umenyeshewa na mvua
Wanyama sa kilambo chiko kwaya.,Amenyamaza kama kitu iko kwa makwapa
W'edeka malemba gha manga ghisene kiserere.,Alipika majani ya mihogo hayana chumvi
Kusew'aw'o kuchumba ndighi rako.,Usiskie uchungu kushinda nguvu zako
Idime naw'uka nasilwa.,Leo nimeamka nimechoka
Waenda shoa mbande na ukalumwa ni choka.,Ameenda chukua kuni akaumwa na nyoka
Iro choka raobosha.,Izo nyoka zaogopesha
Hare yamila kofia yapo.,Nyoka imemeza kofia yangu
Msesarighe masakenyi choka rachua.,Msicheze kwa vichaka nyoka zimejaa
Nguku niro rimanya kira chasea.,Kuku ndio huwa zinajua kumekuwa giza
Nagala ndo isekambie.,Nimeenda nyumbani kabla hakujakuwa giza
Mzoe kushoa matandiko.,Muanze kuchukua blanketi
Mdeke nadime w'ana w'esekedungumia.,Mpike mapema mchana watoto wasisinzie
W'evalwa w'iw'adane.,Walizaliwa wameshikana
Ofunyirwa minga yose.,Alitolewa mahari yote
Mlungu niw'onekanie.,Mungu nionekanie
Mlungu nitesie nisemenye mndungi.,Mungu nisaidie nisidharau mtu
Ocha kaia luma.,Alikawia sana
Msekeliw'a kuselia w'andu w'a mzenyu.,Msisahau kutembelea watu wa nyumbani
W'unja kiwiwi kwa w'ucha.,Rudisha ubaya kwa wema
Idime nasowa kilambo che mneka.,Leo tumekosa kitu ya kumpatia
Mbande rake rekorwa rose.,Kuni zake zimechomwa zote
Mselekere mbi kubanda sa chovu.,Msiachilie mwili kunona kunona kama ndovu
W'ikakaja w'arugha mterengo.,Wakiwa wanakula huwa wanafunga mlango
Bakuli rapo reka rilue.,Sahani zangu ziko chafu
Pagha yake yesia mw'inyi.,Damu yake imeisha kwa mwili
Wadarwa vadu vifwanane va mkwake.,Huwa anavaa viatu vinafanana na bibi yake
Waw'ae ela vua ndeiko.,Walipanda lakini hakuna mvua
Mangila ngadaw'onelwa.,Zeruzeru huwa wanaonewa
Oko na w'asi ghwa w'ongo.,Ako na wasiwasi wa ubongo
Naliw'a matuku gha w'ughangenyi.,Nimesahau siku za hospitalini
kuw'ike kula na mwai wa w'andu.,Jiweke mbali na msichana wa watu
W'andu w'imanye matuku ghasia.,Watu wajue siku zimeisha
W'ikaka lemwa ni kucha w'iseche.,Wakishindwa na kuja wasije
Malemba gha manga ni mbogha.,Matawi ya mihogo ni mboga
W'eka na kuliw'a malagho na nandighi.,Wako na kusahau maneno sana
Ozerwa unyo machi malazi.,Aliambiwa akunywe maji mengi
Onda choruliwa pagha yeoma sena.,Alipoongezwa damu ilikauka tena
Waenda ifonyi Paranga.,Ameenda matangani Paranga
W'andu w'ose w'aenda mbuwe'nyi.,Watu wote waeende shambani
Waenda lomba milungu yaw'o sesonyi.,Wameenda omba Miungi yao kwa makonge
W'efunywa mwai waw'o kizongona.,Walitoa msichana wao sadaka
Kichuku chose cheka na maririkanyo.,Ukoo wote  uko na mazishi
Waenda lomba mbangenyi.,Ameenda kuomba pangoni
Uhu mwana wanikaria kiw'onu.,Huyu mtoto ameniketia kiuno
Demsighia w'ulalo ubonye seji ukunde.,Nimemwachia nafasi afanye vile anataka
Kwamanya kumoni na malagho ghako.,Utajua mwenyewe na maneno yako
Kuw'ike mbande nicha vua yaw'acha.,Uweke kuni vizuri mvua inakuja
Odekunda kukubwagha mziri ghukadumbuka.,Alitaka kujiua kamba ikakatika
W'endaw'ona maduma w'edeinjika.,Walipoona ndumaa walitoka
Okuw'ida w'uki ukalumwa ni choki.,Alivuna asali akaumwa na nyuki
W'esindaw'a nakio vua ikacha.,Walikuwa wanalima usiku mvua ikakuja
Nalola sere na kila umu.,Natafuta amani na kila mtu
Oghora ndeufasha kwapo.,Alisema hatakanyaga kwangu
Odacha nemdunga machi gha modo.,Alipokuja nlimwagia maji ya moto
Odejifinikira magunia ukiiw'a.,Alijifinika magunia akiiba
Chongo chake ndechiko nicha.,Kichwa chake hakikosawa
Uhu mwana ovalwa matuku ghisevikie.,Huyu mtoto alizaliwa
Waw'aja vindo vitini.,Anakula chakula kidogo
W'edejoka mghondinyi w'ikaw'uduka.,Walipanda milima wakaanguka
Wakushinga ivu na w'usiri.,Amejipaka jivu na makaa
W'eenda kwa mlaghui w'ikazerwa mae ni msaw'i.,Wameenda kwa nabii akawaambia mamake ni mchawi
Odekunda usaghulo ikalema.,Alitaka achaguliwe ikashindikana
Wadakunda w'andu iji w'aka na w'asi.,Wanapenda watu wakiwa na shida
Oka na madumbu mabaha.,Yuko na mashavu makubwa 
Mkuvu ghwake ghochelewa kuhoa.,Kitovu yake ilichelewa kupona 
Uhu mwana ovalwa na komo.,Huyu mtoto amezaliwa na kipaji
Apa waw'anga w'andu w'ake w'ose.,Baba ameeita watu wake wote
Ocha manya mae waw'uya m'baha.,Alikuja kujua mamake aliporudi mkubwa
W'edelegha kumghoria mae wafuye.,Alikataa kumwambia mamake alifariki
Kwadakunda kunung'una na ndighi.,Unapenda kulalamika sana
W'andu w'ose w'iendie w'udenyi ndew'iw'urie.,Watu wote walienda wundanyi hawajarudi
Ndee oleghwa uselow'olwo jingi.,Babake alikataa asiolewe hata siku moja
Osingilwa ni malagho sa w'uki.,Anafurahishwa na maneno kama asali
Mzaw'o ni mghondi ghusene izi.,Kwao ni mlima usio na izi
W'edukwa ni machi w'alala.,Walibebwa na maji wakiwa wamelela
Wamanyane kala w'ikilima.,Walijuana kitambo wakiwa wanalima
Ukadeka kila mundu wadainjika.,Akipika kila mtu huwa anatoka
Vindo vaw'o velema w'andu.,Chakula chao kimeshinda watu
Wasighwa ni mndu wa w'omi wake.,Ameachwa na bwanake
Waw'ekoa na waw'edaika pagha.,Wanakohoa na anatapika damu
Wasinda lima na kuw'a.,Alikuwa analima na kupanda
Kigharo chaw'o ndechine mghamba.,Jiko lao halina mahali pa kuekea chakula
Ela uja mundu odeka ukimuenja w'ughangenyi.,Lakini yule mtu alikuwa anampeleka hospitalini
Midi diw'ae yaoma yose.,Miti tulipanda ilikauma yote
Osindalumwa ni kifu ukadumbulwa w'ula.,Alikuwa anakatwa na tumbo akakatwa tumbo
Omoni ni mlacha ela mundu wa w'omi w'ake ni mvui.,Yeye ni mrefu lakini bwanake ni mfupi
Irumirio jake ndejiko jimange.,Uaminifu wake hauko vizuri
Mkabienyi chui ungie.,Mpigieni makafi aingie
Waghue vindo vilazi.,Wamenunua chakula kingi
Soghoria mbenyu machi unyo.,Songezea mwanzako maji akunywe
Zighanenyi w'andu w'isew'ona.,Angalieni watu vipofu
W'egushirwa vigharo w'ose.,Waliangushiwa makao yote
Mbogha ra mnyunya rew'aw'a.,Mboga za mchunga ni kali
Odewongia ukadaavua sa mwana.,Alilewa akaanza kutambaa kama mtoto
Ndee ondafwa w'ekasokwa vilambo vose.,Babake alifariki wakapokonywa kila kitu
W'afunya maghanga ghilo na w'ukongo.,Wametoa madawa madawa yapigane na dawa
Wahangaika na malagho mabaha wasigha agha matini.,Wanahangaika na maneno makubwa wanawacha madogo
W'ikabusa w'andu w'emanga kimusi.,Wakifika watu wanasimama wima
Ghose ghikabonyeka dipoilwa shuu.,Yote yakifanyika tutafurahi sana
Odevaa ingila ukam'bwagha.,Alizaliwa albino akajiuwa
Wadaseria kifumbi ukakaenda choronyi.,Anaketi kwa kiti wakati anaenda chooni
Dakwana ukaida kima.,Tumekutana akanipita kimya
W'andu w'amu w'akalia w'ambao.,Watu wengine wanadanganya wenzao
Odeghora waenda ghushia mbuw'enyi.,Alisema kuangukia shambani
W'andu w'aw'elala mbuw'enyi angu w'andu w'aw'eiw'a.,Watu wanalala shambani ama wanaiba
Kitoi ichochose chikaw'hadwa chibwagho.,Mwizi yoyote akishikwa auliwe
Wedezerwa wiroghuane mbuw'enyi.,Waliambiwa wasalimiane kwa baridi
Odenekwa vindo w'ose.,Amepewa chakula chote
Warwa nguw'o rirashukie .,Amevaa nguo zimeraruka
Nguw'o yake ni mbaha.,Nguo yake ni kubwa
Waghuilwa nguw'o imu.,Amenunulia nguo nyingine
Wadapoilwa ni nguw'o ra chilu.,Huwa nanpendezwa na nguo nyeusi
Nguw'o itanaa rejoka bei.,Nguo zikuhizi zimepanda bei
Nguw'o ra mwana raoma.,Nguo za mtoto zimekauka
Waoghosherwa nguwo ra mwana.,Ameoshewa nguo za mtoto
Maw'ula gha ng'ombe ni mabaha sana.,Matumbo ya ng'ombe ni makubwa sana
Wadeka maw'ula gha mburi.,Amepika matumbo ya mbuzi
Maw'ula gha ng'ondi gheka na mavuda shuu.,Matumbo ya kondoo yana mafuta sna
Ng'ondi raw'o raiw'wa.,Kondoo zao zimeibiwa
Dasicha ng'ondi rose.,Tumechinja kondoo zote
Danekwa ng'ondi na mruna mao.,Tumepewa kondoo na ndugu ya mama
Waenda ghua ng'ondi.,Ameenda kununua kondoo
W'omi w'azoya kukia.,Wanaume wameanza kuokoka
W'omi w'ose w'aw'angwa .,Wanaume wote wanaitwa
W'omi w'akwana kwa mwasare wapo.,Wanaume wamekutana kwa somo wangu
W'omi w'ose w'alow'ua.,Wanaume wote wameoa
W'ana w'anugha w'omi mbuw'enyi.,Wanaume wote wameoa
Chofi yose yasia.,Pombe yote imeisha
Wanywa chofi ukalala chienyi.,Amekunywa pombe akalala njiani
W'alwa angu wanywa chofi.,Wamepigana kwa sababu wamekunywa pombe
Apa wadanywa chofi .,Baba hunywa pombe
Wanineka chofi ya kala.,Amenipa pombe ya zamani
Chofi ndeikuenjagha andu kungi.,Pombe haitakupeleka mahali popote
Wanizera niende nimghuye chofi.,Ameniambia niende nimnunulie pombe
Wanywa chofi ukazoya kudaika.,Amekunywa pombe akaanza kutapika
Chofi yadabwagha w'andu.,Pombe huua watu
Wadia chofi yose.,Amemwaga pombe yote
Kwa w'eni Mwasi wadadeka chofi.,Kwa kina Mwasi huwa wanapika pombe
Warughue andu kouza chofi.,Amefungua pahali pa kuuza pombe
Wadumbua changu cha m'biribiri.,Amekata kiboko cha magugu
M'biribiri ghobia.,Magugu ni kali
Mburi ikaja m'biribiri iayafwa.,Mbuzi ikila magugu inakufa
Kwaw'o w'eka na m'biribiri.,Kwao wana magugu
Malemba gha m'biribiri ni w'ughanga.,Majani ya magugu ni dawa
Dasicha mburi iw'i.,Tumechinja mbuzimbili
Aba waghua mburi.,Baba amenunua mbuzi
Naneka mburi nyasi.,Nimepea mbuzi nyasi
Waenda lisha mburi.,Ameenda kulisha mbuzi
Mburi raw'auzwa gali.,Mbuzi zinauzwa gali
Mburi yeka na kifu.,Mbuzi ina mimba
Mburi yava masa.,Mbuzi imezaa mapacha
Wanekwa mburi ra mradi.,Amepewa mbuzi za mradi
Mburi rafungwa isakenyi.,Mbuzi wamefungwa kichakani
Mwana wa mburi waonga .,Mtoto wa mbuzi amenyonya
Mburi radafwa kukaoma.,Mbuzi hufa kukiwa na ukame
Mariw'a ghose ghavimba.,Maziwa yote yameharibika
Mariw'a ghadika ghose .,Maziwa yamemwagika yote
Mwana wakorwa ni mariw'a.,Mtoto amechomwa na maziwa
Mariw' gha mburi ghaoma.,Maziwa ya mbuzi yamekauka
Mariw'a gha mburi ghesinga.,Maziwa ya mbuzi ni matamu
Deredelwa mariw'a.,Tuliletewa maziwa
Mariw'a gha w'eke Chao w'adadunga machi.,Maziwa ya kina Chao wanaweka maji
Waw'aneka mwana mariw'a.,Wanapatia mtoto maziwa
Mwana wadanywa mariw'a gha idukenyi.,Mtoto huwa anakunywa maziwa ya dukani
Oka na malagho ghiseelekia.,Ako na maneno yasio eleweka
Mruna ni m'baa wake.,Ndugu yake ni mkubwa wake
Kuchanye na omoni.,Ukuje na yeye
Ukacha mkotie kumoni.,Akija muulize mwenyewe
Makongo ghacha ghiseelekiaa.,Magonjwa yamekuja yasio eleweka
Makongo gha itanaa ndeghine maw'ughanga.,Magonjwa ya saizi hayana dawa
Opatika na ughu w'ukongo m'baa.,Alipatikana na huu ugonjwa mkubwa
Simanyaa kama waduwaa loli.,Sidhani kama yuko kweli
W'epatwa ni ifwa.,Walipatwa na msima
Ulu lufu lwadadema kisaya kweli.,Hii panga inakata vibaya sana
Kusesighe wana w'ichezie lufu.,Usiwache mtoto achezee panga
Yebidi utumie lufu kuchochua shighadi.,Ilibidi atumie panga kufweka
Shighadi yaw'o yechua w'uchafu kweli.,Inje kwao kumejaa uchafu
Kiserere chejhoka bei.,Chumvi ilipanda bei
Maisha itanaa ndeghiko sa kala.,Maisha sikuizi hayako kama kitambo
Malagho ghecha noneka putu.,Mambo yalikuja haribika kabisa
Osighana na mashomo ubonye w'uvuvi.,Aliachana na masomo afanye uvuvi
Itanaa kuseko na mashomo ndokudimaa.,Sikuizi bila masomo hauwezi
Mashomo ni kila kilambo nechi.,Masomo ni kila kitu
Mashomo ni mfunguo ghwa maisha.,Masomoni ufunguo wa maisha
W'endemeria kushoma opata mfazili.,Alipomaliza kusoma alipata mfadhili
Kupata mfazili yakundika kulombe Mlungu sana,Kupata mfadhili inahitajika uombe Mungu sana
Mlungu ni kila kilambo.,Mungu ni kila kitu
Ndouduwaa moo.,Hayuko hai
Mlungu ni mcha.,Mungu ni mwema
Nyumba rimu reka na mashimandu.,Nyumba zingine ziko na mapepo
Koko na mundu uchaa nakio.,Kuna mtu huwa anakuja usiku
Ivo vala wafunyire hao mwana.,Izo vidole zilitoka wapi
Vala vake veidana.,Vidole vyake vimepitana
Oka na vala vilacha .,Yuko na vidole virefu
Maghu ghake gheka na w'ukongo ghumu.,Miguu zake zinaugonjwa flani
Wadapoilwa ni rangi ya chilu.,Anafurahishwa na rangi nyeusi
Wadapoilwa ni kila kilambo.,Anafurahishwa na kila kitu
Wadapoilwa ni w'aka w'avui.,Anafurahishwa na wanawake wafupi
Wadazamilwa ni malagho ghiseelekia.,Anasinywa na mamboyasioleweka
Wadazamilwa ni ujha mka ndee.,Anachukizwa na bibi ya baba yake
Wadalow'ua toe mwana.,Huwa anaoa kila siku
Ujha ulow'ue ata ndoufwane.,Yule ameoa hata hapendezi
Kwani wocheluw'ua w'ele?,Kwani alikuja oa vile
Uo mka wake oka na malagho pacha.,Huyo bibi yake ana maneno kama nini
Mkotie kuw'one ngera ukughoria loli.,Muulize kama atakwambia kweli
Nemkotia ukalegha putu kunighoria.,Nilimuuliza akakataa kabisa kuniambia
Itanaa wadaka ueka.,Sikuizi anakaa peke yake
W'echasighana nechi.,Waliachana 
Odeka na vidungu dungu nandighi.,Alikuwa na mambo madogo dogo sana
W'edesicha mburi.,Walichinja mbuzi
Iyo mburi ndeekoghe yaw'o.,Hiyo mbuzi haikuwa yao
Naskira vana vikilila.,Nimeskia vifaranga vikilia
Nguku yaw'ew'angiria.,Kuku inalalia
Ivo vana vafuma vilinga?,Ivyo vifaranga vimetoka vingapi
Vana vekunda kuzighanwa shuu ima.,Vifaranga vinafaa kuangaliwa sana tu
Vana vimu ni va chilu vimu ni va chokwa.,Vifaranga vingine ni vyeupe vingine vyeusi
Ngache yadaonga luma nandighi.,Ndama inanyonya sana 
W'edekaba ngemi nandighi.,Walipiga nduru kwa nguvu
W'edekanya ijho ituku.,Walikuwa pamoja hiyo siku
Matuku ghose ndeghifwanane.,Siku zote hazifanani
Matuku ghamu nadatambwa w'ele lee niki charo.,Siku zingine huwa nashangaa ni nini hiyo
Sighana nao kama ndeukunde.,Achana naye kama hataki
Malagho ghamu ni ghezighana tu.,Mambo mengine niya kuangalia tu
Ndew'imfunyire shighadinyi bado.,Hawajamtoa inje bado
Ngache yaonga mariw'a ghose.,Ndama imenyonya maziwa yote
W'ai w'amu w'ekukunda nandighi.,Wasichana wengine wanajipenda sana
Kwaki w'aw'eenda maghu maduu.,Kwa nini anaenda bila viatu
Maghu ghake ghebarika.,Miguu yake imepasuka
Obara nyungu ighokie.,Alipasua chungu kizuri kweli
Wadabara vilambo w'oruw'o.,Huwa anapasua vituivyo ivyo
Mwatuli tuli wake obarika.,Simu yake ilipasuka
Mwatuli tuli ghwake ndoghuw'adaa  nicha aha.,Simu yake haishiki vizuri hapa
Malagho ni mengi.,Mambo ni mengi
Malagho ghaw'o sighana nagho putu.,Mambo yao achana nayo kabisa
Ndouchie kufuma icho kusinda ighuo.,Hakuja kutoka jana
Ighuo w'echa w'ose.,Jana walikuja wote
Ighuo w'edeka w'aw'edumwa mtambonyi.,Jana walikuwa watumwa kwenda kusaga
Osha mufu ghudendere.,Alisaga unga mzuri kweli
Mufu ghwaw'o ni ghwa paketi.,Unga wao ni wa paketi
Simanyagha ngera ucha loli.,Sidhani kama atakuja kweli
Ni kichuku chake loli.,Ni ukoo wake kweli?
Mnyango ghwaro ghoka m'baa zaidi.,Mlango wenyewe uko mkubwa zaidi
Mnyango ghumu ghoko hao?,Mlango mwingine uko wapi
Chonyi mw'ose.,Njoni nyote
Mche kwapo Mlungu waghora.,Njooni kwangu Mungu anasema
Mwana ofwanana na ndee.,Mtoto anafanana na babake
Oka sa ndee putu.,Yuko kama babake kabisa
W'andu w'aro w'eka w'oruw'o.,Watu wenyewe wako ivyo ivyo
Alia iro mbogha.,Palilia izo mboga
Mghenyi wa mayo ni ndeyo.,Mgeni wa mamako ni babako
Ndew'iichi ni kisaya.,Hawajui ni vibaya
Irina jhake ndejhiko na mndungi .,Jina lake halina mtu mwingine
Marina ghaw'o ghefanana.,Majina yao yamefanana
Agho ni ghajha marina gha kala.,Hayo ni yale majina ya kitambo
Okunda w'ai nandighi.,Anapenda wasichana zaidi
Okunda kujha kila kilambo.,Anapenda kula kila kitu
Mkotie kumoni.,Muulize mwenyewe
Itanaa kila mundu uajitegemea moni.,Saizi kila mtu anajitegemea
W'andu wa mzaw'o ndew'imkunde.,Watu wakwao hawamtaki
Chijha kichuku cheka na w'asaw'i.,Ile ukoo iko na wachawi
W'asaw'i w'akulwa duu.,Wachawi wamepatwa uchi
Ata ndew'ine w'aya.,Hata hawana haya
 Osilwa na maisha.,Amechoka na maisha
Oghora ndew'ine kichuku.,Alisema hawana ukoo
Mwembe ghuko na maembe ndoghusow'agha magho andonyi.,Mwembe mwenye una maembe huwa haukosi mawe chini
Mundu upoiye ndeusow'agha kudungwa na midi.,Mtu mzuri huwa hakosi kudungwa na miti
Mka na mriwa w'adalwa toe.,Mke na wifi yake huwa wanapigana kila siku
Vua yendanya moda ghofughuka.,Mvua iliponyesha mto ulibomoka
Ogushwa ni njau na ukachuka mwindi.,Aliangushwa na fahali akavunjika mguu
Ng'ondi yaw'o yadatika.,Kondoo yao huwa inagonga
W'andu w'amu w'ikapata w'adaliwa w'ambao.,Watu wengine wakipata huwa wanasahau wenzao
Mdamu okulwa ni maghesho.,Mwanadamu ana mawazo mengi
Kukadumwa ndekuw'uya shwaa.,Ukitumwa hurudi haraka
Mwengere namredia.,Mwangaza nimewaletea
W'andu w'iw'uke w'ibonye ghaw'o.,Watu waamke wafanye yao
Mkonu ghwake ghoka m'baha na mtini.,Mkono wake uko mdogo na mkubwa
Wadakalia w'andu ndeuw'onaa.,Huwa anadanganya watu haoni
W'ana w'ake w'abonya w'andu w'isilo.,Watoto wake wamefanya watu wachoke
Kazoya ilagho mpaka kujimere.,Ukianza jambo mpaka ulimalize
Mka irumu na makwaru wakwana.,Jitu na sungura wamekutana
Okwanya vichuku vose.,Amekosanisha ukoo wote
Olelwa ni mka ndee.,Amelelewa na bibi ya babake
W'andu wenda w'enda zoghua w'eliw'a.,Watu walipokuwa wakubwa wamesahau kabisa
Skunde kudwalwa seji mkunde.,Sitaki kubebwa vile mnataka
Oghora uja si ndee ungi.,Alisema yule si babake
Omoni wadasaghua w'ana.,Yeye huwa anachagua watoto
Wadadeda sa ibamba jisene machi.,Huwa anaongea kama batihalina maji
W'ikakaida kwapo w'adanyama chuku.,Akiwa anapita kwangu huwa ananyamaza kimya
Nemreza uende uzighane ndee.,Nilimwambia aende aangalie babake
W'esindadunga vindo machi.,Walikuwa wanaeka chakula maji
Kuw'iroghua kukavika mzaw'o.,Uwasalimie ukifika kwao
Kuoghoshe mwana wako madu.,Umuoshe mtoto wako maskio
Uhu mundu oka seji waleghwa ni machi.,Huyu mtu ako kambe amekataliwa na maji
Waw'edagha ndeuoghie kafwani.,Ananuka hajaoga karibuni
Uja mka wadaghochuya w'uli. ,Yule mwanamke huwa anakojolea kitanda
Matandiko ghareda ngungunyi.,Matandiko yanaleta kunguni
Reda vindo mezenyi.,Leta chakula mezani
W'ikiria nyungu modonyi.,Ekelea nyungu motoni
Udizeraa malagho ghipoie sena ni tee.,Atatwambia maneno matamu ya uongo
Okua kifu ukamanywa.,Alitoa mimba akajulikana
Mburi rake radafusha.,Mbuzi wake huwa wanaavya mimba
Odeghora diakwana ighuo.,Alisema tunakutana jana
Ijo ituku w'echalemana.,Hilo duka walikuja kushindana
Oka mlacha ghwa duu ela w'ongo ndeghuko.,Ni mrefu kazi ya bure maana hana akili
Mundu umweri wanonia w'andu w'ose.,Mtu mmoja anaharibia watu wote
W'eka na ihehe ja vindo sa mae.,Wana kiherehere cha chakula kama mama yao
Shoa agho mapemba ghadika.,Chukua hayo mahindi yamemwagika
Mseliw'e kumghoria w'andu w'ichaa.,Msisahau kumwambia watu watakuja
W'ikakacha w'ido mariw'a ghaw'o.,Wakiwa wanakuja wabebe maziwa yao
Walemwa ni mkomba.,Ameshindwa na mkia
Waja ng'ombe yose.,Amekula ng'ombe yote
Dakwasha kose dalemwa ni kuting'ini.,Tumelima kote tumeshindwa na kidogo
Nendakuvisa aw'o w'ikacha.,Nilijificha wao walipokuja
W'ikakaw'uya mzaw'o ndew'ighoraa.,Wakiwa wanarudi kwaohuwa hawasemi
Ndighi rake reka valenyi.,Nguvu zake ziko kwa vidole
Mbi ghwake ghoka sa ghwa ighosi.,Mwili wake uko kama wa mzee
Oghaluka agha matuku ukaw'uya sa ighosi.,Aligeuka siku hizi akakuwa kama mzee
Nakunde kukanya na omoni ela wanilema.,Nilitaka kukaa na yeye ila alinishinda
Kamghoria ndeubonya.,Ukimwambia hatafanya
Oho kwakunde kudeka na mbande.,Wewe wataka kupika na kuni
Nakundagha kukaya na omoni ela uwaja na ndighi.,Huwa nataka kukaa na yeye lakini anakula sana
Ukaririkanya mae wadazoya kufunya mbori.,Akikumbuka mamake huwa anaanza kutoa machozi
W'ekulwa ni ngolo sa magho.,Roho zao ni ngumu kama mawe
Nedew'ilegha iruwa jikiaka.,Niliwakataa jua likiwaka
Ini sikundaa lumenyo kufuma kala,Mimi sipendi madharau kutoka kitambo
Odezerwa uleke kusarighia W'andu.,Aliambiwa aache kuchezea watu
Mbia yake yabarika.,Kaburi lake limepasuka
W'esindadisarighia dikaw'ing'uta nicha.,Walikuwa wanatuchezea tukawapiga vizuri
Dew'isafugha w'ikarucha.,Tuliwapiga wakatoa damu
W'aghenda w'ughangenyi w'irighito.,Wameenda hospitali watairiwe
Kimeru chaoma putu.,Unyevu umekauka kabisa
Msara ndeghusirisha kuja.,Sima huwa haichokeshi kula
Wadaja vindo vimeri toe.,Huwa anakula chakula moja kila siku
Wavadwa ni mterengo ghwa mtorori.,Wamefinywa na mlango wa gari
Oka na mafuri gha kwaya.,Akona manyoa ya makwapa
Oka na sombe sa fwandi.,Ana ndevu kama kondoo
Wasoka mbao mnduwawomi wake.,Amepokonya mume wake mbao
Warwa lukange singo.,Wamevaa shanga shingoni
Ngolo ikakunda ndeighalulwa ni mndungi.,Roho ikipenda haigeuzwi na mtu yoyote
Oghua w'ana w'eghua angu usevaa.,Alinunua watoto kwa sababu ni tasa
Osigha kusarigha na visuka.,Mkiwaona waambieni wametuhaibisha
Osila kusarigha na visuka.,Ameacha kucheza na midoli
W'abonyi kazi w'ose w'aw'ingwa.,Wafanyikazi wote wamefukuzwa
Naamua kumghoria agho malagho.,Nimeamua kumwambia hayo maneno
Vifurue vadionia mbuw'a.,Vipepeo wametuharibia shamba
Odeka na mzata ghomghoria malagho.,Alikuwa na mkongojo wa kumwambia maneno
Okabwa na changu cha chongo.,Alipigwa na kiboko kichwani
W'endabusa w'eghalusa malagho.,Alipofika waligeuza maneno
Isi dekola damrumiria putu.,Sisi tulishamvumilia kabisa
Ndedemanyiree uhu ni mwanidu.,Hatukujua huyu ni ndugu yetu
Wadikua disemerie seji ndekundee.,Ametupata hatujamaliza vile tulikuwa tunataka
W'endameria malagho ghaw'o w'ikazoya chofi.,Walipomaliza mambo yao wakarudi kwa pombe
W'andu w'adungumia w'ose.,Watu wote wamesinzia
W'asea kidombo mafungu mafungu.,Wameketi mafungu mafungu
Ukacha wafuma mbuw'enyi wadadeka.,Akija ametoka shambani huwa anapika
Vilole vake vekunda kughaluswa,Vioo vyake vinataka kubadilishwa
Wafusika ndeukushingie mavuda.,Ameparara hajajipaka mafuta
Oranganya maghi na ghiworie.,Amechanganya mayai na yaliyo oza
Nguku yafunya vana vidadu.,Kuku imeangua vifaranga watatu
Iringo jaw'adia jakafunya wana.,Njiwa ametama akatoa vifaranga
Waw'ekanya na omoni ela wameria matuku ghaenga.,Wanakaa na yeye lakini amemaliza masiku
W'ikamfunya w'orinyi w'anona.,Wakimtoa hadharani wameharibu
W'aja maghuw'a w'ikasilwa.,Wamekula miwa wakachoka
Kwadima kukunda mundu ela ndeukukunde.,Waweza kupenda mtu na asikupende
Uja mka wadagugumia.,Yule mwanamke huwa anasinzia
Kutambua malagho omoni ni wasi.,Kujua maneno yeye ni vingumu
Okulwa mashimba shighadi.,Alipatikana matako inje
Mwakaya aha chienyi sa visuka.,Mnakaa hapa njiani kama vibonzo
W'andu w'afunywa ni ngemi.,Watu wametolewa na nduru
W'andu w'ededa ndew'ine machu.,Watu wakuongea hawana hasra
W'adatima kuw'itesia ela w'aw'elemwa.,Wanajaribu kuwasaidia lakini wanashindwa
Ukacha mumsighe udede moni.,Akija mwache aongee mwenyewe
Mkwa wake olisa kubulwa ngonde.,Bibi yake amezoea kupigwa makonde
Agha malagho sighiliw'aa.,Haya maneno sitayasahau
Chaw'ucha kuninekie sere na panana.,Asante ulinipea amani na uzima
Wacha kishakisha idime.,Amekuja vibaya leo
Kila kuela w'aw'esia tu.,Kila kukicha wanaisgha tu
Njogholo yaw'etocha wambao.,Jogoo inauma wenzao
Ivi vindo vazama msevijhe.,Hiki chakula kimeharibika msikile
